Name,ABN,Address_streetblock,Address_locality,postcode,Email,Address For Service email,Charity Size,Who the charity helps,Date established,Last reported,Next report due,Financial Year End,States,Total_Income,TGI_Government Grants,TGI_Donations_and_Bequests,TGI_Goods_or_Services,TGI_Income_Investments,TGI_Other Revenues,Total_Expense,TE_Grants_and_Donations_in_Australia,TE_Grants_Donations_Outside_of_Australia,TE_Interest,TE_Employees,TE_Other
Sorrento Surf Life Saving Club Inc.,21543847781,Po Box 395,Sorrento,3943,lifesaving@sorrentoslsc.com,lifesaving@sorrentoslsc.com,Small,General community in Australia,1998,29 August 2019,31 October 2020,30-4月,VIC," $120,763.00",0,32933,87418,412,0," $105,615.00",0,0,0,0,105615
Alexandra Headland Surf Life Saving Club Inc,67688394718,167 Alexandra Parade,Alexandra Headland,4572,admin@alexsurfclub.com.au,admin@alexsurfclub.com.au,Large,"Aboriginal and Torres Strait Islander people,Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Families,Females,Financially disadvantaged people,Gay, lesbian, bisexual, transgender or intersex persons,Males,Migrants, refugees or asylum seekers,Overseas communities or charities,People from a culturally and linguistically diverse background,People in rural/regional/remote communities,People with disabilities,Youth - 15 to under 25,Other charities,General community in Australia",1984,21 November 2018,30 September 2019,31-3月,QLD," $1,985,337.00",87227,1110557,545693,88621,153239," $2,306,687.00",2270,0,293204,551398,1459815
Avalon Beach Surf Life Saving Club Inc,81096313417,558a Barrenjoey Rd,Avalon Beach,2107,avalonbeachslsc@gmail.com,avalonbeachslsc@gmail.com,Medium,General community in Australia,1990,13 November 2019,31 December 2020,30-6月,NSW," $477,870.00",24752,5468,427024,0,20626," $501,119.00",0,0,0,42858,458261
Wye River Surf Lifesaving Club,25294896448,Foreshore Great Ocean Road,Wye River,3234,wyeriverslsctreasurer@gmail.com,wyeriverslsctreasurer@gmail.com,Small,"Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Early childhood - aged under 6,Families,Youth - 15 to under 25",,17 September 2019,31 August 2020,30-11月,VIC," $156,639.00",0,0,156639,0,0," $94,479.00",0,0,0,0,94479
Torquay Surf Lifesaving Club Inc.,95834027136,1 Surf Beach Drive,Torquay,3228,info@torquayslsc.com.au,info@torquayslsc.com.au,Medium,General community in Australia,1944,29 August 2019,31 October 2020,30-4月,VIC," $543,718.00",41944,24991,366058,1925,108800," $495,129.00",0,0,0,75426,419703
Surfers Paradise Surf Life Saving Club Inc,83390315675,Cnr Hanlon Street And The Esplanade,Surfers Paradise,4217,admin@surfersparadiseslsc.com.au,admin@surfersparadiseslsc.com.au,Medium,General community in Australia,1924,5 November 2019,31 October 2020,30-4月,QLD," $899,407.00",106308,316185,222166,0,254748," $1,079,346.00",0,0,0,117861,961485
Queenscliff Surf Life Saving Club,43405483291,North Steyne And Collingwood Street,Manly,2095,admin@queenscliffslsc.org.au,treasurer@queenscliffslsc.org.au,Medium,"Children - aged 6 to under 15,General community in Australia",1923,25 November 2019,30 November 2020,31-5月,NSW," $380,397.00",0,86371,285495,6141,2390," $456,054.00",1875,0,0,40934,413245
Corrimal Surf Life Saving Club Inc,46968514791,1 Lake Parade,East Corrimal,2518,secretary@corrimalsurfclub.com.au,secretary@corrimalsurfclub.com.au,Small,Families,1910,30 January 2020,7 April 2019,30-6月,NSW," $3,110.00",0,3110,0,0,0," $12,300.00",0,0,0,0,12300
Marcoola Surf Lifesaving Club Inc,12214510181,64-76 Marcoola Esp,Marcoola,4564,administrator@marcoolaslsc.com.au,administrator@marcoolaslsc.com.au,Medium,"Aboriginal and Torres Strait Islander people,Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Families,Females,Financially disadvantaged people,Gay, lesbian, bisexual, transgender or intersex persons,Males,Migrants, refugees or asylum seekers,People from a culturally and linguistically diverse background,People with disabilities,Unemployed persons,Youth - 15 to under 25,General community in Australia",1987,29 June 2019,31 October 2020,30-4月,QLD," $583,868.00",42636,346828,194404,0,0," $367,649.00",0,0,0,103339,264310
Dee Why Surf Lifesaving Club Incorporated,39393896380,27 The Strand,Dee Why,2099,secretary@dyslsc.org.au,treasurer@dyslsc.org.au,Medium,General community in Australia,1912,14 February 2020,31 October 2020,30-4月,NSW," $346,695.00",16595,56714,268973,4413,0," $333,583.00",0,0,0,14566,319017
Tallebudgera Surf Lifesaving Club Inc,45175889400,1505 Gold Coast Hwy,Palm Beach,4221,admin@tallesurfclub.net.au,admin@tallesurfclub.net.au,Large,General community in Australia,1946,17 July 2019,31 October 2020,30-4月,QLD," $1,287,158.00",22181,878428,217469,829,168251," $737,946.00",0,0,0,51848,686098
Redhead Surf Life Saving Club,25386231109,Redhead Surf Life Saving Club Beach Road,Redhead,2290,public.officer@redheadslsc.com.au,public.officer@redheadslsc.com.au,Medium,General community in Australia,1906,11 September 2019,31 October 2020,30-4月,NSW," $584,144.00",29826,14982,530028,9308,0," $501,897.00",0,0,0,0,501897
Ellis Beach Surf Life Saving Club Inc,52049850407,Po Box 114,Clifton Beach,4879,admin@ellisbeachslsc.com,admin@ellisbeachslsc.com,Small,"Families,General community in Australia",1985,26 June 2019,31 August 2020,31-12月,QLD," $115,527.00",59948,21073,1131,0,33375," $77,385.00",0,0,0,0,77385
Eimeo Surf Life Saving Club Inc.,29825839883,6 Eimeo Espl,Eimeo,4740,eimeoslsclub@bigpond.com,eimeoslsclub@bigpond.com,Small,General community in Australia,2000,15 October 2019,31 October 2020,30-4月,QLD," $207,997.00",53344,14478,138732,1443,0," $175,478.00",9349,0,0,40908,125221
Merewether Surf Lifesaving Club Inc,70957910935,1 John Pde,Merewether,2291,secretary@merewetherslsc.com.au,secretary@merewetherslsc.com.au,Small,"Aboriginal and Torres Strait Islander people,Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Families,Females,Gay, lesbian, bisexual, transgender or intersex persons,Males,People from a culturally and linguistically diverse background,People in rural/regional/remote communities,People with disabilities,Youth - 15 to under 25,General community in Australia",1906,2 March 2020,31 December 2020,30-6月,NSW," $151,548.00",24525,17355,96369,5281,8018," $118,172.00",0,0,0,0,118172
Dixon Park Surf Life Saving Club Inc,36248962500,20 Ocean St,Merewether,2291,administration@dixonparkslsc.com.au,administration@dixonparkslsc.com.au,Medium,"Children - aged 6 to under 15,General community in Australia",1931,28 January 2020,31 December 2020,30-6月,NSW," $783,166.00",471724,17354,288105,3585,2398," $279,015.00",0,0,0,45199,233816
Dalyellup Beach Surf Life Saving Club Incorporated,86433003132,,,,dbslsc04@gmail.com,alan@eastmans.com.au,Medium,"Children - aged 6 to under 15,General community in Australia",,12 November 2019,31 December 2020,30-6月,WA," $329,273.00",305000,7665,16177,431,0," $57,909.00",0,0,0,0,57909
Emu Park Surf Lifesaving Club Inc,44635480382,3 Keppel St,Emu Park,4710,secretary@emuparkslsc.com.au,secretary@emuparkslsc.com.au,Small,General community in Australia,1955,4 September 2019,31 October 2020,30-4月,QLD," $191,983.00",54549,66263,52324,0,18847," $143,402.00",0,0,0,0,143402
Coolangatta Surf Life Saving Club Inc,36837670575,Marine Parade,Coolangatta,4225,office@coolangattaslsc.com.au,treasurer@coolangattaslsc.com.au,Large,General community in Australia,1958,16 July 2019,31 October 2020,30-4月,QLD," $1,121,393.00",54733,114530,951185,0,945," $851,857.00",0,0,124479,69286,658092
Coogee Surf Life Saving Club Inc.,65015261451,Cnr Beach And Carr Street,Coogee,2034,admin@coogeeslsc.com.au,admin@coogeeslsc.com.au,Large,"Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Youth - 15 to under 25",1906,10 December 2019,30 November 2020,31-5月,NSW," $1,206,990.00",72122,164296,707260,20535,242777," $1,189,313.00",0,0,0,182433,1006880
Coochiemudlo Island Surf Life Saving Club Inc.,63414907925,1 Williams St,Coochiemudlo Island,4184,coochieslsc@bigpond.com,coochieslsc@bigpond.com,Small,General community in Australia,,14 November 2018,31 October 2020,30-4月,QLD," $113,658.00",64545,25343,0,873,22897," $80,703.00",0,0,0,0,80703
Denmark Surf Life Saving Club Inc,75039691404,891a Ocean Beach Rd,Ocean Beach,6333,info@denmarksurf.com.au,dslsctreasurer@gmail.com,Small,General community in Australia,1957,18 June 2020,31 October 2021,30-4月,WA," $162,922.00",12500,11176,131679,2408,5159," $145,180.00",0,0,0,0,145180
Clovelly Surf Life Saving Clubs Inc,42749604891,Po Box 2094,Clovelly West,2031,admin@clovellysurfclub.com.au,admin@clovellysurfclub.com.au,Medium,"Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Youth - 15 to under 25,General community in Australia",,25 October 2019,31 October 2020,30-4月,NSW," $354,800.00",30000,95053,223300,6447,0," $458,858.00",0,0,0,0,458858
Crowdy Head Surf Life Saving Club Inc,27911047117,557 Crowdy Head Rd,Crowdy Head,2427,finance@crowdyheadslsc.org.au,finance@crowdyheadslsc.org.au,Small,General community in Australia,1955,30 July 2019,31 October 2020,30-4月,NSW," $85,601.00",6750,29070,28761,708,20312," $54,886.00",0,0,0,0,54886
Cottesloe Surf Life Saving Club Inc,93729549261,87 Marine Parade,Cottesloe,6019,admin@cottsurf.com,admin@cottsurf.com,Medium,"Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Families,Youth - 15 to under 25,General community in Australia",1908,30 July 2019,31 October 2020,30-4月,WA," $637,349.00",20000,12886,586211,18252,0," $591,046.00",0,0,0,94600,496446
Christies Beach Surf Life Saving Club Incorporated,27983789248,The Esplanade,Christies Beach,5165,president.cbslsc@gmail.com,president.cbslsc@gmail.com,Small,"Children - aged 6 to under 15,Youth - 15 to under 25,Adults - aged 25 to under 65,Migrants, refugees or asylum seekers,Aboriginal and Torres Strait Islander people,People from a culturally and linguistically diverse background,Unemployed persons,Financially disadvantaged people,Gay, lesbian, bisexual, transgender or intersex persons,Adults - aged 65 and over,Early childhood - aged under 6,Victims of disaster,General community in Australia,Families",1953,23 September 2018,31 October 2019,30-4月,SA," $145,368.00",14203,36497,94563,105,0," $148,681.00",0,0,0,0,148681
Chelsea Longbeach Surf Life Saving Club Inc.,87727017881,Po Box 73,Chelsea,3196,clslsc.treasurer@gmail.com,clslsc.treasurer@gmail.com,Small,General community in Australia,1916,17 January 2020,31 October 2020,30-4月,VIC," $130,903.00",35500,0,94168,1235,0," $115,604.00",0,0,0,0,115604
Esperance Goldfields Surf Life Saving Club Inc,29152695474,Twilight Beach Rd Twilight Beach,Esperance,6450,egslsc@gmail.com,egslsc@gmail.com,Small,General community in Australia,1991,10 April 2018,31 October 2019,30-4月,WA," $85,763.00",0,0,0,0,85763," $65,759.00",23874,0,0,0,41885
North Kirra Surf Life Saving Club Incorporated,33082071619,,,,surfclub@northkirra.com.au,surfclub@northkirra.com.au,Medium,"Children - aged 6 to under 15,Families,Youth - 15 to under 25,General community in Australia",1948,8 July 2019,31 October 2020,30-4月,QLD," $464,393.00",65380,2591,328072,2481,65869," $212,108.00",0,0,0,0,212108
North Entrance Surf Life Saving Club,47575008738,North Entrance S.l.s.c,The Entrance North,2261,Admin@northentranceslsc.com.au,admin@northentranceslsc.com.au,Medium,"Females,Males,General community in Australia",1977,8 December 2019,30 September 2020,31-3月,NSW," $258,514.00",40880,19231,164090,978,33335," $202,808.00",0,0,0,14686,188122
North Cottesloe Surf Life Saving Club (Inc),86242133144,151 Marine Pde,Cottesloe,6011,manager@ncslsc.com,manager@ncslsc.com,Large,General community in Australia,1917,29 October 2019,31 December 2020,30-6月,WA," $1,355,973.00",15000,94048,0,0,1246925," $1,446,769.00",0,0,0,418028,1028741
City Of Perth Surf Life Saving Club Inc,77020797331,Perth Lifesaving Club,City Beach,6015,citymanager@citysurf.asn.au,citymanager@citysurf.asn.au,Medium,General community in Australia,1924,22 October 2019,31 October 2020,30-4月,WA," $824,225.00",118303,52756,426551,1061,225554," $748,755.00",0,0,0,153339,595416
Fingal Rovers Surf Life Saving Club Inc.,76032049295,Po Box 25,Fingal Head,2487,admin@fingalroversslsc.com.au,treasurer@fingalroversslsc.com.au,Small,General community in Australia,1932,10 October 2019,31 December 2020,30-6月,NSW," $241,848.00",10373,220934,9946,595,0," $99,052.00",0,0,0,0,99052
Nobbys Surf Life Saving Club Inc,70118833592,Po Box 1010,Newcastle,2300,nobbysslsc1923@gmail.com,nobbysslsc1923@gmail.com,Small,"Families,Females,Males,People with disabilities,General community in Australia",1922,11 October 2019,31 October 2020,30-4月,NSW," $241,920.00",108770,52817,68948,0,11385," $121,994.00",0,0,0,0,121994
Nambucca Heads Surf Life Saving Club Incorporated,72163036106,Po Box 121,Nambucca Heads,2448,emjk1979@gmail.com,Karen.Campling@hlv.com.au,Small,General community in Australia,1929,6 February 2020,31 October 2020,30-4月,NSW," $61,228.00",0,40833,3250,2417,14728," $35,979.00",0,0,0,0,35979
Newport Surf Life Saving Club Inc,56603611439,394 Barrenjoey Road,Newport,2106,admin@newportsurfclub.com.au,admin@newportsurfclub.com.au,Medium,General community in Australia,1910,29 January 2020,31 October 2020,30-4月,NSW," $855,298.00",5000,469850,379741,0,707," $833,157.00",0,0,0,63990,769167
North Bondi Surf Lifesavings Club Inc,77272419031,266 Campbell Pde,Bondi Beach,2026,office@northbondisurfclub.com,office@northbondisurfclub.com,Large,General community in Australia,1905,20 February 2020,31 October 2020,30-4月,NSW," $1,727,708.00",27000,75000,0,0,1625708," $1,672,448.00",0,0,0,283399,1389049
Mindil Beach Surf Life Saving Club,83578543378,Maria Liveris Drive,The Gardens,820,admin@mindilbeachslsc.org.au,admin@mindilbeachslsc.org.au,Small,General community in Australia,1997,13 July 2018,30 June 2019,31-12月,NT," $75,993.00",10500,47762,8901,0,8830," $52,197.00",0,0,0,0,52197
Moana Surf Life Saving Club Inc,19316049350,The Esplanade,Moana,5169,secretary@moanaslsc.com.au,treasurer@moanaslsc.com.au,Medium,General community in Australia,,31 January 2020,31 December 2020,30-6月,SA," $273,453.00",19370,4522,130768,873,117920," $185,216.00",0,0,0,8571,176645
Mona Vale Surf Lifesaving Club Inc,55385251630,"Surfview Rd,",Mona Vale,2103,sandra.a@ozemail.com.au,admin@monavaleslsc.org.au,Medium,"Females,Males,General community in Australia",1921,12 February 2020,31 October 2021,30-4月,NSW," $465,177.00",20178,8810,127878,9559,298752," $339,924.00",0,0,0,5635,334289
Mudjimba Surf Life Saving Club Inc,88104132551,20 Mudjimba Esp,Mudjimba,4564,secretary@mudjimbasurf.com.au,treasurer@mudjimbasurf.com.au,Small,"Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Early childhood - aged under 6,Families,Females,Males,Overseas communities or charities,People in rural/regional/remote communities,Youth - 15 to under 25,General community in Australia",1996,8 December 2019,31 October 2020,30-4月,QLD," $239,071.00",91561,16156,110462,2892,18000," $227,378.00",0,0,0,13078,214300
Kirra Surf Life Saving Club_ACNC GROUP,,,,,,,Small,General community in Australia,,17 July 2019,30 September 2020,31-3月,QLD," $278,761.00",28091,130429,0,0,120241," $249,492.00",0,0,0,27412,222080
Mackay Surf Life Saving Club Inc,90501274674,"Lot 69, East Point Drive",Outer Harbour Mackay,4740,admin@mackayslsc.com.au,admin@mackayslsc.com.au,Small,"Families,Other charities,General community in Australia",2000,13 August 2019,31 October 2020,30-4月,QLD," $109,704.00",51947,28496,26968,46,2247," $178,301.00",0,0,0,18004,160297
Moore Park Surf Life Saving Club Inc,51361537150,1 Surf Club Dr,Moore Park Beach,4670,mooreparkslsc@bigpond.com,mooreparkslsc@bigpond.com,Small,General community in Australia,1986,3 July 2019,31 October 2020,30-4月,QLD," $78,508.00",49321,16158,1750,713,10566," $52,879.00",0,0,0,0,52879
Kennett River Surf Life Saving Club Inc,74923037990,2 Great Ocean Rd,Kennett River,3234,jason_menz@tac.vic.gov.au,jason_menz@tac.vic.gov.au,Small,"Adults - aged 25 to under 65,Children - aged 6 to under 15,Families,Females,Males,People in rural/regional/remote communities,Youth - 15 to under 25,General community in Australia",,24 September 2019,31 December 2020,30-6月,VIC," $48,387.00",28900,1427,8595,68,9397," $48,294.00",0,0,0,0,48294
Metropolitan Caloundra Surf Life Saving Club Incorporated,99632467963,1 Spender Lane,Kings Beach,4551,admin@caloundrasurfclub.com.au,admin@caloundrasurfclub.com.au,Medium,General community in Australia,1984,30 July 2019,31 October 2020,30-4月,QLD," $310,000.00",40000,105000,0,5000,160000," $291,000.00",0,0,0,17000,274000
Jan Juc Surf Life Saving Club Inc,21849701767,Po Box 179,Torquay,3228,info@janjucsurfclub.com.au,info@janjucsurfclub.com.au,Large,General community in Australia,1983,9 September 2019,31 October 2020,30-4月,VIC," $1,435,281.00",950000,53506,364340,18282,49153," $412,519.00",0,0,0,62263,350256
Glenelg Surf Life Saving Club Inc,62134722716,Foreshore,Glenelg,5045,secretary@glenelgslsc.com.au,secretary@glenelgslsc.com.au,Large,"Families,Migrants, refugees or asylum seekers,General community in Australia",1929,23 June 2020,31 October 2019,30-4月,SA," $1,631,654.00",55593,0,1365239,0,210822," $945,400.00",0,0,0,659272,286128
Kingston Beach Surf Life Saving Club Incorporated,88284300673,25a Osborne Esp,Kingston Beach,7050,kingstonbeachslsc@gmail.com,kingstonbeachslsc@gmail.com,Small,"Families,People from a culturally and linguistically diverse background,People with disabilities,General community in Australia",2009,31 October 2019,31 October 2020,30-4月,TAS," $85,106.00",9930,5957,46237,1693,21289," $80,270.00",0,0,0,0,80270
Kiama Surf Life Saving Club Inc,77671377278,,,,treasurer@kiamaslsc.com.au,treasurer@kiamaslsc.com.au,Small,General community in Australia,1907,31 January 2020,31 December 2020,30-6月,NSW," $145,972.00",0,57998,62462,737,24775," $129,455.00",0,0,0,0,129455
Forrest Beach Surf Lifesaving Club Inc,32547908820,Palm Street,Allingham,4850,fbslsc1@bigpond.com,fbslsc1@bigpond.com,Small,"Adults - aged 25 to under 65,Children - aged 6 to under 15,Females,Males,Youth - 15 to under 25,General community in Australia",1984,30 October 2019,31 October 2020,30-4月,QLD," $55,782.00",25399,751,0,0,29632," $67,648.00",0,0,0,0,67648
Gove Peninsula Surf Life Saving Club Incorporated,73148533994,Po Box 81,Nhulunbuy,881,govesurfclub@gmail.com,govesurfclubcontactus@gmail.com,Small,"Adults - aged 25 to under 65,Children - aged 6 to under 15,People in rural/regional/remote communities,Youth - 15 to under 25,General community in Australia",,12 August 2019,31 August 2020,31-12月,NT," $198,861.00",17071,20175,152887,378,8350," $188,561.00",24112,0,0,0,164449
Fingal Beach Surf Life Saving Club incorporated,80879052334,3 Marine Dr,Fingal Bay,2315,secretary@fingalbeachslsc.com,secretary@fingalbeachslsc.com,Small,"Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Families,People in rural/regional/remote communities,People with disabilities,Youth - 15 to under 25,General community in Australia",1963,30 August 2019,30 September 2020,31-3月,NSW," $183,727.00",5000,31651,18465,4107,124504," $154,073.00",0,0,0,0,154073
Henley Surf Life Saving Club Inc,69573136317,Po Box 9039,Henley Beach South,5022,secretary@henleyslsc.com.au,secretary@henleyslsc.com.au,Large,"Aboriginal and Torres Strait Islander people,Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Families,Females,Males,People from a culturally and linguistically diverse background,People with disabilities,Youth - 15 to under 25,General community in Australia",1924,17 April 2020,31 January 2020,30-6月,SA," $1,534,000.00",23000,46000,1387000,0,78000," $1,561,000.00",0,0,6000,696000,859000
The Trustee For Anglesea Surf Lifesaving Club Foundation,14944812708,100 Great Ocean Rd,Anglesea,3230,richard@westcarrharvey.com.au,richard@westcarrharvey.com.au,Small,General community in Australia,1992,24 September 2019,31 October 2020,30-4月,VIC," $48,547.00",0,0,0,48547,0," $55,097.00",20000,0,0,0,35097
Tacking Point Surf Lifesaving Club Inc,89023565419,40 Matthew Flinders Dr,Port Macquarie,2444,admin@tpslsc.com.au,admin@tpslsc.com.au,Medium,"Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Early childhood - aged under 6,Females,Males,Youth - 15 to under 25,General community in Australia",1974,6 January 2020,31 December 2020,30-6月,NSW," $465,004.00",206905,14747,242973,379,0," $288,074.00",1150,0,0,30955,255969
Garie Surf Life Saving Club Incorp,62248693377,Po Box 168,Engadine,2233,admin@garieslsc.com.au,admin@garieslsc.com.au,Small,General community in Australia,1937,18 November 2019,30 November 2020,30-5月,NSW," $31,068.00",0,20239,10829,0,0," $20,239.00",20239,0,0,0,0
Tathra Surf Life Saving Club Inc,83772324079,19 Bayview Drive,Tathra,2550,elliotdf@bigpond.net.au,elliotdf@bigpond.net.au,Small,General community in Australia,1908,14 January 2020,31 December 2020,30-6月,NSW," $160,521.00",500,43831,115477,713,0," $174,080.00",0,0,0,0,174080
Fairhaven Surf Life Saving Club Incorporated,46931223741,Po Box 221,Aireys Inlet,3231,info@fairhavenslsc.org,secretary@fairhavenslsc.org,Medium,"Females,Males,General community in Australia",1957,11 November 2019,31 October 2020,30-4月,VIC," $378,043.00",54262,30704,293077,0,0," $403,557.00",0,0,0,5625,397932
